Classe,Joueur
MPSI,Intelligent Faraday
MPSI,Affectionate Kare
MPSI,Sad Cerf
MPSI,Happy Panini
MPSI,Inspiring Matsumoto
MPSI,Focused Wright
MPSI,Zen Wing
MPSI,Vigorous Hofstadter
MPSI,Loving Moser
MPSI,Musing Payne
MPSI,Distracted Goldstine
MPSI,Trusting Meitner
MPSI,Practical Kilby
MPSI,Bold Leakey
MPSI,Clever Carson
MPSI,Pensive Golick
MPSI,Competent Kalam
MPSI,Trusting Moser
MPSI,Gracious Noether
MPSI,Infallible Sutherland
MPSI,Dreamy Solomon
MPSI,Charming Shamir
MPSI,Strange Rhodes
MPSI,Determined Shaw
MPSI,Stoic Visvesvaraya
MPSI,Suspicious Ganguly
MPSI,Tender Feistel
MPSI,Nifty Mahavira
MPSI,Blissful Margulis
MPSI,Relaxed Wilson
MPSI,Cranky Cerf
MPSI,Wizardly Margulis
MPSI,Clever Golick
MPSI,Jovial Ishizaka
MPSI,Distracted Keldysh
MPSI,Nifty Wright
MPSI,Inspiring Hofstadter
MPSI,Inspiring Meitner
MPSI,Epic Brown
MPSI,Xenodochial Driscoll
MPSI,Goofy Brown
MPSI,Optimistic Wozniak
MPSI,Vibrant Hellman
MPSI,Gracious Mcclintock
MPSI,Suspicious Mayer
MPSI,Epic Swanson
MPSI,Wonderful Ardinghelli
MPSI,Frosty Ellis
PCSI,Sleepy Ishizaka
PCSI,Zealous Lamarr
PCSI,Jolly Lamport
PCSI,Wizardly Hugle
PCSI,Affectionate Lovelace
PCSI,Relaxed Murdock
PCSI,Competent Saha
PCSI,Condescending Turing
PCSI,Upbeat Stonebraker
PCSI,Optimistic Germain
PCSI,Loving Bohr
PCSI,Silly Rosalind
PCSI,Intelligent Bartik
PCSI,Hopeful Nobel
PCSI,Priceless Sammet
PCSI,Nervous Poitras
PCSI,Dazzling Taussig
PCSI,Gracious Golick
PCSI,Nostalgic Wozniak
PCSI,Jovial Khayyam
PCSI,Friendly Khorana
PCSI,Interesting Bell
PCSI,Gifted Meninsky
PCSI,Thirsty Ritchie
PCSI,Friendly Cartwright
PCSI,Amazing Wescoff
PCSI,Eager Mcnulty
PCSI,Jolly Stonebraker
PCSI,Jovial Brahmagupta
PCSI,Elegant Nightingale
PCSI,Distracted Ishizaka
PCSI,Determined Kare
PCSI,Sharp Fermat
PCSI,Silly Feistel
PCSI,Fervent Rhodes
PCSI,Hungry Cannon
PCSI,Sweet Moore
PCSI,Zealous Williams
PCSI,Awesome Curran
PCSI,Wizardly Cannon
PCSI,Eager Carson
PCSI,Epic Easley
PCSI,Thirsty Shockley
PCSI,Heuristic Bell
PCSI,Brave Mclean
PCSI,Unruffled Kepler
PCSI,Dreamy Ride
PCSI,Fervent Hoover
MP2I,Romantic Babbage
MP2I,Angry Shockley
MP2I,Loving Driscoll
MP2I,Mystifying Colden
MP2I,Objective Kepler
MP2I,Great Gates
MP2I,Amazing Shtern
MP2I,Infallible Matsumoto
MP2I,Magical Ellis
MP2I,Hungry Driscoll
MP2I,Naughty Wing
MP2I,Flamboyant Aryabhata
MP2I,Nostalgic Davinci
MP2I,Adoring Lehmann
MP2I,Peaceful Merkle
MP2I,Zen Hugle
MP2I,Magical Bassi
MP2I,Competent Cohen
MP2I,Eager Jennings
MP2I,Fervent Jones
MP2I,Pedantic Ride
MP2I,Goofy Shockley
MP2I,Intelligent Jepsen
MP2I,Blissful Shockley
ECG1,Infallible Johnson
ECG1,Jolly Lichterman
ECG1,Gracious Golick
ECG1,Nifty Perlman
ECG1,Keen Spence
ECG1,Blissful Faraday
ECG1,Jolly Spence
ECG1,Practical Goldstine
ECG1,Heuristic Darwin
ECG1,Recursing Banzai
ECG1,Awesome Yonath
ECG1,Nervous Greider
ECG1,Charming Northcutt
ECG1,Strange Carver
ECG1,Quirky Pascal
ECG1,Eloquent Babbage
ECG1,Nostalgic Lalande
ECG1,Gifted Sutherland
ECG1,Hungry Taussig
ECG1,Wizardly Mendeleev
ECG1,Zen Margulis
ECG1,Modest Joliot
ECG1,Naughty Curie
ECG1,Optimistic Ptolemy
ECG2,Gifted Faraday
ECG2,Confident Lehmann
ECG2,Busy Faraday
ECG2,Charming Zhukovsky
ECG2,Agitated Benz
ECG2,Peaceful Nobel
ECG2,Confident Nobel
ECG2,Jolly Lichterman
ECG2,Clever Sutherland
ECG2,Silly Lumiere
ECG2,Determined Kilby
ECG2,Sleepy Goldwasser
ECG2,Reverent Heisenberg
ECG2,Keen Margulis
ECG2,Eloquent Noether
ECG2,Condescending Vaughan
ECG2,Great Wing
ECG2,Crazy Rubin
ECG2,Vibrant Roentgen
ECG2,Jovial Moser
ECG2,Determined Tesla
ECG2,Awesome Lehmann
ECG2,Loving Williams
ECG2,Interesting Rhodes
HK,Vigilant Thompson
HK,Serene Solomon
HK,Charming Kare
HK,Keen Easley
HK,Fervent Dewdney
HK,Gracious Swanson
HK,Zealous Goodall
HK,Angry Cori
HK,Stoic Bartik
HK,Romantic Clarke
HK,Charming Nobel
HK,Amazing Diffie
HK,Happy Ellis
HK,Silly Rubin
HK,Blissful Haslett
HK,Frosty Yalow
HK,Admiring Wiles
HK,Busy Johnson
HK,Musing Mclean
HK,Romantic Brown
HK,Festive Joliot
HK,Pedantic Tu
HK,Epic Ganguly
HK,Jovial Franklin
HK,Modest Bouman
HK,Xenodochial Neumann
HK,Reverent Johnson
HK,Laughing Banach
HK,Lucid Grothendieck
HK,Zealous Hermann
HK,Distracted Wilbur
HK,Amazing Germain
HK,Agitated Chaum
HK,Modest Maxwell
HK,Mystifying Ishizaka
HK,Beautiful Proskuriakova
HK,Nostalgic Swanson
HK,Dreamy Liskov
HK,Goofy Einstein
HK,Nice Carver
HK,Eloquent Rhodes
HK,Intelligent Kowalevski
HK,Quizzical Neumann
HK,Nostalgic Ishizaka
HK,Reverent Black
HK,Amazing Shtern
HK,Goofy Edison
HK,Trusting Keller
KH,Eager Jennings
KH,Zen Blackwell
KH,Lucid Borg
KH,Sleepy Einstein
KH,Lucid Mccarthy
KH,Hardcore Beaver
KH,Sleepy Knuth
KH,Elated Shtern
KH,Nervous Cori
KH,Hungry Shannon
KH,Pedantic Volhard
KH,Gracious Kapitsa
KH,Dreamy Booth
KH,Beautiful Volhard
KH,Hungry Poitras
KH,Suspicious Swanson
KH,Elated Shirley
KH,Practical Morse
KH,Focused Torvalds
KH,Relaxed Mcclintock
KH,Reverent Dirac
KH,Vigilant Dhawan
KH,Heuristic Sammet
KH,Elegant Cannon
KH,Priceless Wilson
